word,happy,sad
":,-7.15635,-8.04925
first,-7.15768,-8.53431
pretty,-7.16313,-8.87803
sunday,-7.16448,-8.69799
pagi,-7.17625,-9.09724
dong,-7.18626,-8.19540
xxx,-7.19879,-8.57053
yay,-7.19882,-9.62455
luck,-7.20345,-9.30888
even,-7.21838,-7.66343
look,-7.22653,-8.68961
little,-7.23436,-8.41202
finally,-7.24281,-9.20926
though,-7.24691,-7.77659
kamu,-7.25311,-8.15845
gracias,-7.25379,-9.97707
follback,-7.25834,-11.27260
watch,-7.25938,-8.19975
wanna,-7.26050,-7.36390
baby,-7.26172,-8.30217
friends,-7.26235,-8.48171
buat,-7.26386,-8.69381
glad,-7.26395,-9.69456
yah,-7.26716,-8.04473
show,-7.27604,-8.45202
deh,-7.28525,-7.79614
bisa,-7.28831,-7.71069
cute,-7.29617,-9.64055
long,-7.29739,-8.11041
keep,-7.31793,-8.69537
excited,-7.33294,-9.64332
school,-7.33908,-7.57362
ever,-7.34673,-8.33528
ready,-7.35843,-8.78179
friday,-7.36215,-8.93611
sorry,-7.36217,-7.00398
beautiful,-7.36295,-9.74381
friend,-7.36383,-8.63767
days,-7.36408,-8.17494
sweet,-7.37330,-9.79928
movie,-7.39310,-9.00959
world,-7.39609,-9.13131
followers,-7.40076,-9.03662
big,-7.40147,-8.68217
song,-7.41397,-9.32786
tell,-7.42009,-8.57136
kok,-7.44380,-8.11654
thx,-7.45155,-10.77338
following,-7.45578,-9.59121
thing,-7.47683,-8.37731
smile,-7.48342,-10.26389
something,-7.49850,-8.34405
???,-7.50262,-7.94422
dont,-7.52686,-7.72255
enjoy,-7.52726,-9.91652
looking,-7.53576,-8.77289
goodnight,-7.54010,-10.05663
sooo,-7.54148,-8.07521
coming,-7.54686,-8.59818
aww,-7.55399,-8.12759
give,-7.56380,-8.81884
game,-7.56874,-8.60680
try,-7.57005,-8.88279
amin,-7.57070,-10.50260
wow,-7.57144,-8.85174
dinner,-7.57396,-9.31908
oke,-7.57858,-9.87567
later,-7.58397,-9.06158
awww,-7.59247,-8.10932
bad,-7.59324,-7.21139
already,-7.60430,-8.07965
gak,-7.61251,-7.55725
hair,-7.62069,-8.62382
said,-7.62329,-8.56247
boa,-7.62566,-10.35220
house,-7.62692,-8.48211
maybe,-7.63197,-8.75617
semoga,-7.63609,-10.01062
saw,-7.64584,-8.80348
music,-7.64838,-9.44099
mom,-7.65397,-8.56207
things,-7.65704,-8.73331
lovely,-7.68060,-9.91826
party,-7.68538,-9.03157
tweets,-7.68907,-8.86007
?!,-7.69148,-8.21759
family,-7.69482,-9.16317
another,-7.69844,-8.46374
yaaa,-7.69889,-9.09127
help,-7.70217,-8.42829
super,-7.70469,-8.73805
old,-7.71939,-8.57342
baik,-7.72146,-9.87640
makes,-7.72169,-8.64143
kalo,-7.73472,-8.37305
phone,-7.73598,-8.00400
thats,-7.73882,-8.92659
girls,-7.73901,-9.41524
nih,-7.74079,-7.84230
someone,-7.74546,-8.17465
may,-7.74724,-8.93492
omg,-7.75404,-7.90963
actually,-7.75862,-8.76157
lmao,-7.76009,-9.06757
live,-7.76264,-8.83800
lot,-7.76595,-8.95285
went,-7.77481,-8.32454
meet,-7.77747,-9.20651
sounds,-7.78193,-9.60189
ill,-7.78896,-8.61061
baru,-7.79011,-8.63543
year,-7.79393,-8.58627
feeling,-7.79595,-7.91266
name,-7.79872,-9.55113
sayang,-7.79939,-8.73879
udh,-7.80127,-8.54803
play,-7.80766,-8.79690
put,-7.81311,-8.91158
call,-7.81643,-8.79366
tau,-7.82212,-8.29206
funny,-7.82445,-9.55622
talk,-7.82560,-8.56393
thought,-7.82770,-8.51917
two,-7.83036,-8.73906
also,-7.83512,-8.91533
gotta,-7.83553,-8.52495
check,-7.83567,-9.74401
everything,-7.84054,-8.85756
hoy,-7.84820,-8.44739
:)),-7.84945,-9.67610
looks,-7.85450,-8.88833
bit,-7.85683,-8.82628
nothing,-7.85717,-8.48330
jadi,-7.86546,-8.09601
--,-7.87355,-8.92603
find,-7.87399,-8.22993
might,-7.87511,-8.92760
w/,-7.87991,-9.51936
true,-7.88136,-9.27724
making,-7.89045,-8.99143
hehehe,-7.89320,-9.93911
cantik,-7.89662,-10.53336
early,-7.89728,-8.38211
guess,-7.90310,-8.39730
sabar,-7.90949,-8.88141
siapa,-7.91058,-9.06614
btw,-7.91595,-9.66392
video,-7.92438,-9.28792
hear,-7.92928,-8.81647
saturday,-7.93016,-9.11519
besok,-7.93152,-8.66464
waiting,-7.94117,-8.91457
job,-7.94306,-9.21726
dear,-7.94782,-9.19277
lunch,-7.94815,-9.43041
alhamdulillah,-7.95310,-11.02313
congrats,-7.95755,-11.39381
around,-7.96907,-9.10967
free,-7.97099,-9.44722
jajaja,-7.97276,-8.76549
cause,-7.97559,-8.63652
jam,-7.97782,-8.53895
every,-7.98289,-9.05746
listening,-7.98317,-9.96424
shopping,-7.98594,-9.64842
tho,-7.98772,-8.57530
mean,-7.98789,-8.68464
allah,-7.98903,-8.59688
mention,-7.99134,-9.49415
fan,-7.99214,-9.68650
stop,-7.99221,-8.54075
shit,-7.99520,-8.19167
tarde,-8.00373,-9.59030
working,-8.01237,-8.31988
food,-8.01294,-8.93866
eat,-8.01298,-8.80910
yet,-8.01386,-8.32290
lah,-8.01817,-8.55084
stuff,-8.02652,-9.07192
tweeps,-8.03170,-11.17914
many,-8.03218,-8.80108
bgt,-8.03242,-7.87419
hot,-8.03327,-8.98780
folback,-8.03467,-11.71072
real,-8.03477,-9.08547
bday,-8.03483,-10.00187
read,-8.04014,-9.16781
jaja,-8.04208,-9.06048
favorite,-8.04413,-10.16849
since,-8.04473,-8.54109
ahhh,-8.04533,-8.56976
hours,-8.05560,-8.42137
mind,-8.06440,-9.48248
break,-8.06491,-8.90829
forward,-8.06576,-9.52768
monday,-8.06671,-8.73228
text,-8.07524,-9.00178
nyepi,-8.07625,-10.73780
bro,-8.07696,-9.62382
semangat,-8.08335,-10.04676
late,-8.08438,-8.60701
away,-8.08769,-8.21946
boy,-8.09219,-9.33375
ass,-8.09617,-9.23329
justin,-8.09840,-9.44418
nada,-8.09862,-8.34267
playing,-8.10101,-9.29226
stay,-8.10692,-8.95506
dulu,-8.10897,-9.18891
care,-8.11006,-9.37887
ahh,-8.11031,-8.80539
face,-8.11444,-8.86542
hahahaha,-8.11803,-9.27337
feliz,-8.12139,-10.39827
win,-8.12486,-9.41526
must,-8.12511,-8.93756
suka,-8.12887,-9.43216
soo,-8.13297,-8.88034
hard,-8.13881,-8.47254
perfect,-8.14008,-10.15022
course,-8.14141,-9.96554
mmm,-8.14301,-9.81617
bout,-8.14468,-9.37694
yesterday,-8.14487,-8.77043
noite,-8.14530,-10.32159
times,-8.15236,-8.94359
dah,-8.15302,-8.71846
makan,-8.15645,-8.64982
far,-8.15731,-8.97388
problem,-8.15875,-9.76367
dek,-8.16046,-9.66393
anyone,-8.16227,-9.05963
yea,-8.16473,-9.38496
heart,-8.16556,-8.98634
hopefully,-8.16650,-9.51689
sudah,-8.16956,-9.56979
masih,-8.17079,-8.58355
banget,-8.17166,-8.00463
place,-8.17195,-9.35816
tired,-8.17226,-7.78241
bueno,-8.17410,-9.16806
pic,-8.17436,-9.82331
hahah,-8.17573,-9.58483
end,-8.17946,-8.80841
bye,-8.18191,-9.09624
remember,-8.18651,-9.30414
found,-8.18695,-9.17133
anything,-8.18848,-8.74756
hola,-8.19066,-10.53446
amo,-8.19426,-9.46664
ask,-8.20084,-9.65283
breakfast,-8.20288,-9.78866
least,-8.20395,-9.10823
use,-8.20997,-9.11979
sister,-8.21582,-9.44281
seeing,-8.21632,-9.38010
almost,-8.22379,-8.97335
loves,-8.22419,-10.39241
church,-8.22578,-9.74171
hate,-8.22776,-7.28382
send,-8.22817,-9.60930
fuck,-8.22962,-8.46792
goodmorning,-8.23007,-11.33392
person,-8.23508,-9.40911
loved,-8.23585,-9.96520
dad,-8.23753,-9.02088
nite,-8.23979,-9.99752
makasi,-8.24216,-11.77617
seen,-8.24830,-9.02304
guy,-8.24913,-9.33762
buy,-8.25088,-9.07245
fans,-8.25127,-9.77324
lil,-8.25204,-9.55485
head,-8.25485,-8.55554
proud,-8.25557,-11.37750
wonderful,-8.25743,-11.00320
pasti,-8.26043,-9.15460
eating,-8.26207,-9.58096
finished,-8.26212,-9.49215
jgn,-8.26212,-8.91709
babe,-8.26283,-9.53999
mejor,-8.26302,-9.78359
trying,-8.26320,-8.60617
sih,-8.26883,-8.19115
mama,-8.26917,-8.80521
bring,-8.26981,-9.54497
tidur,-8.27422,-8.71788
nanti,-8.27603,-9.56472
class,-8.27989,-8.94655
rest,-8.28369,-9.37348
sukses,-8.28370,-11.63733
talking,-8.28659,-9.46341
damn,-8.28938,-7.92206
dream,-8.29087,-9.17029
came,-8.29621,-9.15759
thinking,-8.29680,-9.18518
maaf,-8.30374,-8.27936
jangan,-8.30398,-8.88070
carnaval,-8.30917,-8.88926
klo,-8.30995,-9.00643
woke,-8.31156,-8.63867
ohh,-8.31885,-9.45206
crazy,-8.32320,-9.33430
full,-8.32411,-9.25651
anak,-8.32511,-9.44660
boleh,-8.32611,-9.54861
missed,-8.32629,-8.10975
book,-8.32990,-9.66019
room,-8.33087,-9.05583
bless,-8.33173,-10.85809
believe,-8.33656,-8.77002
iyaa,-8.33925,-9.51155
eso,-8.34050,-8.79326
thankyou,-8.34201,-11.80168
wit,-8.34317,-9.72135
shower,-8.34870,-9.87373
dormir,-8.35056,-8.90442
date,-8.35381,-9.90519
malam,-8.35484,-9.58648
rain,-8.35613,-8.62311
mana,-8.35618,-9.05040
syg,-8.35739,-9.19008
enough,-8.36199,-9.01754
lekker,-8.36502,-10.59691
dias,-8.36802,-9.53526
trip,-8.37290,-9.73125
whole,-8.38265,-9.08050
afternoon,-8.38556,-10.14974
dance,-8.38704,-9.97336
tuh,-8.38863,-9.06292
left,-8.38939,-8.20129
definitely,-8.39043,-10.02410
half,-8.39364,-8.90346
facebook,-8.39672,-9.55166
^^,-8.40315,-10.44195
salam,-8.40322,-11.59275
change,-8.40335,-9.49706
black,-8.40390,-9.67328
together,-8.40688,-9.74187
lebih,-8.41068,-9.92212
brother,-8.41080,-9.48013
cuz,-8.41348,-8.97217
yup,-8.41609,-10.35565
busy,-8.41996,-9.13921
top,-8.42011,-9.73230
spring,-8.42049,-9.61201
boys,-8.42427,-9.84703
alright,-8.42870,-10.20829
hmm,-8.42903,-9.29562
add,-8.43294,-10.22119
weather,-8.43403,-8.96198
buen,-8.43488,-10.81912
buenas,-8.43518,-11.18703
team,-8.43783,-9.93596
loving,-8.44001,-10.91685
gua,-8.44331,-8.34301
coffee,-8.44420,-9.69423
concert,-8.44537,-9.25357
sis,-8.45029,-9.81630
movies,-8.45276,-10.08519
told,-8.45653,-9.21828
summer,-8.45805,-9.32874
totally,-8.45938,-9.33286
punya,-8.46172,-9.21705
kinda,-8.46306,-9.07289
yep,-8.46356,-10.18285
lucky,-8.46430,-9.35233
boo,-8.46633,-8.79514
bought,-8.46783,-9.91139
---,-8.47403,-9.93597
dude,-8.47461,-9.51595
idea,-8.49551,-9.31784
anyway,-8.49695,-9.71648
pizza,-8.49728,-9.79222
liat,-8.49918,-8.84728
picture,-8.50001,-9.96663
hour,-8.50003,-8.95060
post,-8.50116,-9.89674
film,-8.50164,-9.80767
sip,-8.50172,-11.00868
lupa,-8.50193,-9.51799
lots,-8.50200,-9.90123
online,-8.50295,-9.29541
uda,-8.50391,-9.28534
kind,-8.50713,-9.79983
wanted,-8.51160,-8.57992
forget,-8.51203,-9.93091
gpp,-8.51294,-9.80728
money,-8.51473,-8.94861
nap,-8.51560,-9.68557
worry,-8.51716,-10.37757
feels,-8.51771,-9.09160
taking,-8.51913,-9.43043
mood,-8.51935,-9.14803
reading,-8.52003,-9.84883
probably,-8.52037,-9.23622
amor,-8.52231,-9.14270
kids,-8.52807,-9.67537
orang,-8.53228,-9.40174
years,-8.53576,-9.43681
siang,-8.53577,-10.00823
blog,-8.53700,-10.34146
goood,-8.53705,-11.12968
goes,-8.53778,-9.53181
red,-8.54016,-9.80668
tour,-8.54401,-9.60734
ama,-8.54492,-9.17388
mbak,-8.54526,-10.05976
hmmm,-8.54551,-9.55364
reply,-8.54673,-9.26801
heard,-8.54678,-9.44912
pengen,-8.54759,-7.91207
without,-8.54767,-8.61548
hell,-8.54773,-9.05775
buenos,-8.54842,-10.95864
evening,-8.55551,-10.51550
ppl,-8.55952,-9.60606
march,-8.56125,-10.03636
songs,-8.56195,-10.29252
pake,-8.56195,-9.25009
hihi,-8.56600,-10.38687
dreams,-8.56892,-10.17512
run,-8.56928,-9.54043
watched,-8.57114,-9.64136
special,-8.57147,-10.43279
seguindo,-8.57372,-12.85126
main,-8.57694,-9.28010
goin,-8.58131,-9.49237
else,-8.58340,-9.36827
everybody,-8.58469,-10.16167
high,-8.58784,-9.73669
minggu,-8.58811,-9.23090
jus,-8.58854,-9.53808
safe,-8.59014,-10.58740
bitch,-8.59134,-9.68276
city,-8.59394,-9.96512
rock,-8.59570,-10.58295
enak,-8.59776,-8.66195
chocolate,-8.59815,-9.80230
bang,-8.59981,-9.77963
sama2,-8.60021,-11.81610
called,-8.60530,-9.40289
leave,-8.60888,-8.60293
mucho,-8.60948,-9.34436
weeks,-8.61013,-9.10029
kali,-8.61081,-9.07804
kakak,-8.61790,-10.05333
minta,-8.62234,-9.83997
banyak,-8.62327,-9.32418
ice,-8.62402,-9.73443
album,-8.62488,-10.40485
lets,-8.62565,-10.73685
quite,-8.62573,-9.90200
forever,-8.62658,-9.31907
plan,-8.62739,-9.86602
support,-8.63423,-10.51847
bieber,-8.63556,-10.27256
sun,-8.63842,-9.54782
ntar,-8.64050,-9.58875
gym,-8.64262,-9.71329
liverpool,-8.64403,-10.18343
number,-8.64440,-10.00308
wake,-8.64559,-9.12433
agree,-8.64734,-10.24992
nah,-8.64966,-9.32896
nonton,-8.65021,-9.09408
tadi,-8.65055,-8.93951
took,-8.65292,-9.26968
tea,-8.65423,-10.01223
listen,-8.65705,-10.07554
kasih,-8.65725,-10.42606
ima,-8.65925,-9.82817
wants,-8.65971,-9.17236
foto,-8.66155,-9.56986
lady,-8.66261,-10.21727
kaka,-8.66438,-10.08602
.",-9.66472,-10.25016
cinta,-9.66586,-10.05742
month,-9.66665,-9.52803
used,-9.67179,-9.27374
drink,-9.67416,-9.66322
means,-9.68159,-9.66383
tuhan,-9.68176,-10.0008
ayo,-9.68407,-9.7876
ang,-9.68556,-9.79318
pics,-9.68709,-10.15341
